x = 0.4805296892858879	y = 0.4546467007864504	t = 0.0005540847778320312
x = 0.480821171547562	y = 0.45531929518103986	t = 0.015353679656982422
x = 0.48072473688982237	y = 0.45509478377583995	t = 0.028948545455932617
x = 0.4805376963924527	y = 0.4546433018720426	t = 0.04457998275756836
x = 0.48035651605806234	y = 0.45418943653568944	t = 0.057257652282714844
x = 0.4799219846866984	y = 0.45304759248142656	t = 0.07255125045776367
x = 0.4795059865606385	y = 0.45189886670210866	t = 0.08666229248046875
x = 0.479108630607702	y = 0.4507435599880189	t = 0.1007537841796875
x = 0.478730020874313	y = 0.44958197485263796	t = 0.11581301689147949
x = 0.47830284026408276	y = 0.44817951371582937	t = 0.1297454833984375
x = 0.47784165517081195	y = 0.44653243933700604	t = 0.14841866493225098
x = 0.47759644552321057	y = 0.44558631436789553	t = 0.1647641658782959
x = 0.4773168024335221	y = 0.4443970183158781	t = 0.1782670021057129
x = 0.4771054231778458	y = 0.4434427651845126	t = 0.19423890113830566
x = 0.4769126125179808	y = 0.44248458760290593	t = 0.20766258239746094
x = 0.4767384431543267	y = 0.4415228468575824	t = 0.2227323055267334
x = 0.4766195047903558	y = 0.4407995220383762	t = 0.23691487312316895
x = 0.4765122862287964	y = 0.4400743673593174	t = 0.25241684913635254
x = 0.4764502075551651	y = 0.43958963413847013	t = 0.2670626640319824
x = 0.4764230940536744	y = 0.4393467970072173	t = 0.28088831901550293
x = 0.47637515870943137	y = 0.43886046146473134	t = 0.2955508232116699
x = 0.47635512891049503	y = 0.4386169377052483	t = 0.30948567390441895
x = 0.47635512891049503	y = 0.4386169377052483	t = 0.32517027854919434
x = 0.47634219980624243	y = 0.4383729339090864	t = 0.3393580913543701
x = 0.476351178954669	y = 0.4386171149672619	t = 0.35507822036743164
x = 0.476351178954669	y = 0.4386171149672619	t = 0.36943674087524414
x = 0.47635462444678955	y = 0.4388614367691181	t = 0.38514137268066406
x = 0.476354116079012	y = 0.4391057823355612	t = 0.3992447853088379
x = 0.47634677325991354	y = 0.4395944193584324	t = 0.41454601287841797
x = 0.47633310558780567	y = 0.4400829203838683	t = 0.42859411239624023
x = 0.47630549078776474	y = 0.44081543833676945	t = 0.442335844039917
x = 0.4762660266170422	y = 0.44154741354654975	t = 0.4590115547180176
x = 0.4762194575855537	y = 0.4422789710998632	t = 0.4730372428894043
x = 0.4761657880831847	y = 0.44301004203555905	t = 0.48726701736450195
x = 0.47608161633470697	y = 0.4439837952615919	t = 0.5029697418212891
x = 0.47601139989766855	y = 0.44471346284376434	t = 0.5177576541900635
x = 0.47590519164041106	y = 0.44568505948565923	t = 0.5324385166168213
x = 0.475752796756166	y = 0.4468972480667846	t = 0.5509727001190186
x = 0.47561833751628496	y = 0.4478653394577502	t = 0.5670335292816162
x = 0.475510448466262	y = 0.4485903946841908	t = 0.5806410312652588
x = 0.4753540938772669	y = 0.44955519179807085	t = 0.5949625968933105
x = 0.47513916181527915	y = 0.4507578678000284	t = 0.6097381114959717
x = 0.4749547755385151	y = 0.4517177021239574	t = 0.6245830059051514
x = 0.4748095031014158	y = 0.4524362012871601	t = 0.6385245323181152
x = 0.47454803716235516	y = 0.4536296253189552	t = 0.6533946990966797
x = 0.4742749966362386	y = 0.4548204545376313	t = 0.6676075458526611
x = 0.4739904072615591	y = 0.45600857668824313	t = 0.6825888156890869
x = 0.47369429586547557	y = 0.4571938797710301	t = 0.695842981338501
x = 0.47332976310159014	y = 0.4586139137065644	t = 0.7119755744934082
x = 0.4730145109012228	y = 0.4597942701811594	t = 0.7258014678955078
x = 0.47249789379938073	y = 0.4616795361262952	t = 0.7397770881652832
x = 0.47195691497881814	y = 0.4635579564279069	t = 0.7619404792785645
x = 0.4714676229961668	y = 0.4651969009221912	t = 0.7765159606933594
x = 0.4710391457441397	y = 0.46659896645507837	t = 0.7904338836669922
x = 0.4704557545115157	y = 0.4684646501323136	t = 0.8076803684234619
x = 0.4699294616194578	y = 0.4700920902975427	t = 0.8228259086608887
x = 0.46946933379293343	y = 0.47148408990144813	t = 0.836796760559082
x = 0.4688438295499791	y = 0.47333607946833306	t = 0.8509185314178467
x = 0.4682063510390654	y = 0.4751839815387707	t = 0.8689877986907959
x = 0.46754500461670995	y = 0.477023476530186	t = 0.8843886852264404
x = 0.4668836581943545	y = 0.47886297152160134	t = 0.897874116897583
x = 0.4661985546911943	y = 0.4806937511652947	t = 0.913435697555542
x = 0.4655939078257325	y = 0.4822937348738739	t = 0.9271540641784668
x = 0.4645396385475638	y = 0.48502979743623786	t = 0.9484193325042725
x = 0.46336878930128883	y = 0.4879826366556185	t = 0.968940258026123
x = 0.4626365200343526	y = 0.489795066691373	t = 0.9871299266815186
x = 0.4617065384825678	y = 0.4920546320790437	t = 1.002950668334961
x = 0.46076195092542827	y = 0.4943081306423263	t = 1.0179862976074219
x = 0.4599946277351905	y = 0.4961060005028913	t = 1.0327835083007812
x = 0.4592156835484075	y = 0.49789886604935074	t = 1.047011137008667
x = 0.4583328482613767	y = 0.49991299315867305	t = 1.0629138946533203
x = 0.457536533921909	y = 0.5016982114608878	t = 1.076570987701416
x = 0.45652671787319316	y = 0.5039232447135775	t = 1.0918700695037842
x = 0.4555025210076237	y = 0.5061416951205907	t = 1.1057333946228027
x = 0.4544639862352309	y = 0.5083534697371261	t = 1.1242461204528809
x = 0.453621722900446	y = 0.5101174746658839	t = 1.1374664306640625
x = 0.4525546434454937	y = 0.5123156199897053	t = 1.1514475345611572
x = 0.4513730367880145	y = 0.5147297683767483	t = 1.168628454208374
x = 0.4505023400891127	y = 0.5164799135628189	t = 1.1825718879699707
x = 0.4493998318109758	y = 0.51866050452044	t = 1.1965272426605225
x = 0.44828323231931577	y = 0.5208339135944626	t = 1.2119996547698975
x = 0.4472719674863042	y = 0.5227867191644178	t = 1.2259776592254639
x = 0.44613431907335666	y = 0.5249491847748582	t = 1.2405211925506592
x = 0.4448598699716704	y = 0.5273156349042445	t = 1.2555515766143799
x = 0.4435777688444755	y = 0.5296779480560742	t = 1.272810697555542
x = 0.44227279253373986	y = 0.5320277019912938	t = 1.287616491317749
x = 0.4409450640546216	y = 0.5343646752075288	t = 1.3030083179473877
