x = -0.4295492450653626	y = -0.6203155777270127	t = 1.452509880065918
x = -0.42859859159793695	y = -0.6220236113621254	t = 1.4679136276245117
x = -0.4278856014973677	y = -0.6233046365884598	t = 1.4813859462738037
x = -0.42717261139679846	y = -0.6245856618147942	t = 1.4962408542633057
x = -0.42574663119566	y = -0.6271477122674632	t = 1.5194296836853027
x = -0.4238453242608087	y = -0.6305637795376885	t = 1.552375316619873
x = -0.42179004147976673	y = -0.634173566486575	t = 1.5833842754364014
x = -0.41994571806790815	y = -0.6373409154356275	t = 1.618117332458496
x = -0.4179566129231085	y = -0.6407066166074712	t = 1.6501033306121826
x = -0.4160816247635529	y = -0.6438559098002559	t = 1.680598497390747
x = -0.4137829059020566	y = -0.6476056186185425	t = 1.7134196758270264
x = -0.4116004437724289	y = -0.6511399655425356	t = 1.750680923461914
x = -0.4096646592354945	y = -0.65425225833711	t = 1.7807714939117432
x = -0.40745936606040833	y = -0.6577724048025737	t = 1.814836025238037
x = -0.4058866377119502	y = -0.6602470861149887	t = 1.8392651081085205
x = -0.40510027353772116	y = -0.6614844267711962	t = 1.8544526100158691
x = -0.4043139093634921	y = -0.6627217674274037	t = 1.8692941665649414
x = -0.40326542379785335	y = -0.6643715549690138	t = 1.883030652999878
x = -0.4024790596236243	y = -0.6656088956252213	t = 1.898639440536499
x = -0.40143057405798555	y = -0.6672586831668313	t = 1.9144501686096191
x = -0.40064420988375643	y = -0.6684960238230389	t = 1.9282848834991455
x = -0.39985784570952737	y = -0.6697333644792464	t = 1.941887378692627
x = -0.3990714815352983	y = -0.6709707051354539	t = 1.9579064846038818
x = -0.39802299596965957	y = -0.6726204926770639	t = 1.971827507019043
x = -0.3972366317954305	y = -0.6738578333332714	t = 1.985025405883789
x = -0.3964502676212014	y = -0.6750951739894789	t = 2.0006425380706787
x = -0.39552817565341364	y = -0.6765357614052829	t = 2.015319585800171
x = -0.39394744656577746	y = -0.6790053398323754	t = 2.041797399520874
x = -0.393020697158215	y = -0.6804429354762247	t = 2.0563430786132812
x = -0.3922263405231615	y = -0.6816751603138097	t = 2.0714714527130127
