x = 0.4978972232194548	y = -0.3084580210924421	t = 1.3421151638031006
x = 0.4979710982384829	y = -0.30552679873007793	t = 1.3569414615631104
x = 0.49804751261857644	y = -0.30284007813236474	t = 1.3704030513763428
x = 0.49814476728415	y = -0.29942061555345695	t = 1.3880188465118408
x = 0.4982247985547638	y = -0.2962451246608958	t = 1.4024772644042969
x = 0.4982730896465353	y = -0.2940465400873601	t = 1.4167060852050781
x = 0.49832341515188316	y = -0.2913592042186654	t = 1.4307448863983154
x = 0.4983593389353037	y = -0.28842727114680905	t = 1.4463117122650146
x = 0.49837346019403705	y = -0.28598385099917356	t = 1.46024489402771
x = 0.49837142672162277	y = -0.28305169856093815	t = 1.4745221138000488
x = 0.4983608639884799	y = -0.2803639122680327	t = 1.4906461238861084
x = 0.4983310964641522	y = -0.2762101353095414	t = 1.5114257335662842
x = 0.4983166927371392	y = -0.2725449721828522	t = 1.5310916900634766
x = 0.4983303621769536	y = -0.2671693754664809	t = 1.5585715770721436
x = 0.49838724150070285	y = -0.2625271481027084	t = 1.580965518951416
x = 0.49846772665365535	y = -0.25886284048014885	t = 1.6002357006072998
x = 0.49853211477601733	y = -0.25593139438210116	t = 1.6146087646484375
x = 0.49859983354345977	y = -0.253244440549934	t = 1.6282358169555664
x = 0.4986695873426853	y = -0.25006870727704905	t = 1.6423273086547852
x = 0.4987107627561517	y = -0.24786997792993523	t = 1.657930850982666
x = 0.4987523907942348	y = -0.24518249326316835	t = 1.6715247631072998
x = 0.4987788255796253	y = -0.2422504592834571	t = 1.6871798038482666
x = 0.4987943589642319	y = -0.23956269712105804	t = 1.7015769481658936
x = 0.49878571672802413	y = -0.23736359924504452	t = 1.7155773639678955
x = 0.49876645538875325	y = -0.2346758612130795	t = 1.7293708324432373
x = 0.4987384956450995	y = -0.23198819959367942	t = 1.7438526153564453
x = 0.4987192343058286	y = -0.2293004615617144	t = 1.75899338722229
x = 0.49871686192134523	y = -0.2258796170504397	t = 1.7764012813568115
x = 0.4987338074318252	y = -0.22294751287327708	t = 1.790454626083374
x = 0.49876973121524576	y = -0.22001557980142075	t = 1.8058083057403564
x = 0.4988154816746529	y = -0.21757254719351649	t = 1.818819522857666
x = 0.4988852354738784	y = -0.2143968139206315	t = 1.8340721130371094
x = 0.4989388922425134	y = -0.2119539421722585	t = 1.8478245735168457
x = 0.4990032803648754	y = -0.20902249607421083	t = 1.8621318340301514
x = 0.49905360587022324	y = -0.20633516020551615	t = 1.877392292022705
x = 0.4990952339083063	y = -0.2036476755387493	t = 1.8934869766235352
x = 0.4991281640431085	y = -0.20096007022288098	t = 1.9083280563354492
x = 0.49914228530184185	y = -0.19851665007524547	t = 1.9215543270111084
x = 0.4991564065605752	y = -0.19607322992760992	t = 1.9365105628967285
x = 0.4991543730881609	y = -0.19314107748937454	t = 1.951218843460083
x = 0.4991333607180472	y = -0.19020899963632176	t = 1.9701814651489258
x = 0.4991123483479335	y = -0.18727692178326905	t = 1.9866585731506348
x = 0.49909483803950544	y = -0.18483352357239174	t = 1.999929666519165
x = 0.4990931434791602	y = -0.18239006320719559	t = 2.0145459175109863
x = 0.49911008898964015	y = -0.17945795903003292	t = 2.0287632942199707
x = 0.4991460127730607	y = -0.17652602595817662	t = 2.043902635574341
x = 0.49919520954534063	y = -0.17334990771563397	t = 2.059426784515381
x = 0.49924553505068847	y = -0.17066257184693928	t = 2.074533700942993
x = 0.499300435601977	y = -0.16773093271745418	t = 2.089261531829834
x = 0.49935533615326555	y = -0.16479929358796908	t = 2.105022430419922
x = 0.4993852726394494	y = -0.1623560160280888	t = 2.119257926940918
x = 0.4994152091256332	y = -0.15991273846820853	t = 2.1342215538024902
x = 0.49942933038436654	y = -0.15746931832057298	t = 2.1479904651641846
x = 0.49943616510427374	y = -0.15478151996238737	t = 2.162071704864502
x = 0.4994265626195984	y = -0.1523380778779279	t = 2.1767380237579346
x = 0.4994073012803275	y = -0.14965033984596293	t = 2.1912894248962402
x = 0.49937934153667374	y = -0.14696267822656278	t = 2.207245111465454
x = 0.4993697390519984	y = -0.14451923614210332	t = 2.2206220626831055
x = 0.49936787503561864	y = -0.14183142974038754	t = 2.235258102416992
x = 0.499381996294352	y = -0.139388009592752	t = 2.2487874031066895
x = 0.4994311930666319	y = -0.13621189135020934	t = 2.2646124362945557
x = 0.4994955811889939	y = -0.1332804452521617	t = 2.279463291168213
x = 0.4995756124596077	y = -0.1301049543596005	t = 2.296851396560669
x = 0.4996520268397012	y = -0.12741823376188732	t = 2.3140642642974854
x = 0.4997353879816214	y = -0.12448726583710922	t = 2.3298964500427246
x = 0.49980310674906386	y = -0.12180031200494215	t = 2.346647262573242
